Albert Einstein	Wàll:Jëmm;
Onduras	Wàll:Réew;Wàll:Aamerig;Wàll:Onduras| ;
Guwaatemala	Wàll:Aamerig;Wàll:Réew;
Gine Bisaawóo	Wàll:Réew;Wàll:Afrig;
Guyaana	Wàll:Aamerig;Wàll:Réew;Wàll:Guyaana| ;
Ayiti	Wàll:Réew;Wàll:Aamerig;Wàll:Ayiti| ;
Ooŋ Koŋ	Wàll:Siin;
Ongiri	Wàll:Oonguri| ;Wàll:Réew;Wàll:Tugal;
Islaand	Wàll:Réew;Wàll:Tugal;Wàll:Dun;Wàll:Islaand| ;
Endoneesi	Wàll:Réew;Wàll:Asi;Wàll:Endoneesi;
Iraan	Wàll:Réew;Wàll:Asi;Wàll:Iraan;
Iraak	Wàll:Réew;Wàll:Asi;Wàll:Iraak;
Israayil	Wàll:Asi;Wàll:Réew;Wàll:Israayil;
Itaali	Wàll:Réew;Wàll:Tugal;Wàll:Itaali| ;
Jordaani	Wàll:Asi;Wàll:Réew;Wàll:Jordaani| ;
Kasakistaan	Wàll:Réew;Wàll:Tugal;Wàll:Asi;Wàll:Kasakistaan| ;
Keeñaa	Wàll:Réew;Wàll:Afrig;Wàll:Keeñaa;
Kiribati	Wàll:Réew;Wàll:Oseyaani;
Kowet	Wàll:Asi;Wàll:Réew;
Simbaawee	Wàll:Réew;Wàll:Afrig;Wàll:Simbaawee;
Saambi	Wàll:Réew;Wàll:Afrig;Wàll:Saambi;
Yaman	Wàll:Réew;Wàll:Asi;Wàll:Yaman;
Wiyetnaam	Wàll:Réew;Wàll:Wiyetnaam| ;
Benesuwela	Wàll:Réew;Wàll:Aamerig;Wàll:Benesuwela| ;
Wanuatu	Wàll:Réew;Wàll:Dun;Wàll:Oseyaani;
Usbekistaan	Wàll:Réew;Wàll:Asi;Wàll:Usbekistaan;
Uruguwaay	Wàll:Réew;Wàll:Aamerig;Wàll:Uruguwaay;
Ugandaa	Wàll:Réew;Wàll:Afrig;Wàll:Ugandaa;
Tirki	Wàll:Tirki| ;Wàll:Réew;Wàll:Tugal;Wàll:Asi;
Tiniisi	Wàll:Réew;Wàll:Afrig;Wàll:Tiniisi;
Tirinidaad ak Tobaago	Wàll:Réew;Wàll:Aamerig;
Tonga	Wàll:Tonga;Wàll:Réew;Wàll:Oseyaani;
Togóo	Wàll:Réew;Wàll:Afrig;Wàll:Togóo;
Taaylaand	Wàll:Réew;Wàll:Asi;
Tansani	Wàll:Réew;Wàll:Tansani;Wàll:Afrig;
Tajikistaan	Wàll:Réew;Wàll:Asi;
Filmi ci wollof	Wàll:Filmi ci Wolof;
Olaand	Wàll:Olaand;Wàll:Réew;Wàll:Tugal;
Suweed	Wàll:Réew;Wàll:Tugal;Wàll:Suweed| ;
Suwis	Wàll:Réew;Wàll:Tugal;Wàll:Suwis|*;
Kongóo-Brasaawiil	Wàll:Afrig;Wàll:Réew;
Kirgistaan	Wàll:Réew;Wàll:Asi;
Letóoni	Wàll:Réew;Wàll:Tugal;Wàll:Letóoni;
Libaa	Wàll:Réew;Wàll:Asi;
Lesoto	Wàll:Réew;Wàll:Afrig;Wàll:Lesoto;
Libeeria	Wàll:Réew;Wàll:Afrig;
Libi	Wàll:Réew;Wàll:Afrig;Wàll:Libi;
Liechtenstein	Wàll:Réew;Wàll:Tugal;
Lituwaani	Wàll:Réew;Wàll:Tugal;Wàll:Lituwaani| ;
Luksambuur	Wàll:Réew;Wàll:Tugal;
Makaaw	Wàll:Siin;
Réewum Maseduwaan	Wàll:Réew;Wàll:Tugal;Wàll:Réewum Maseduwaan;
Madagaskaar	Wàll:Réew;Wàll:Afrig;Wàll:Madagaskaar;
Malawi	Wàll:Afrig;Wàll:Réew;Wàll:Malawi;
Maldiif	Wàll:Asi;Wàll:Réew;Wàll:Maldiif;
Malt	Wàll:Réew;Wàll:Tugal;Wàll:Dun;Wàll:Malt;
Duni Marshall	Wàll:Réew;Wàll:Oseyaani;
Móoris	Wàll:Réew;Wàll:Afrig;
Meksik	Wàll:Réew;Wàll:Aamerig;Wàll:Meksik| ;
Moldaawi	Wàll:Réew;Wàll:Tugal;Wàll:Moldaawi|*;
Monaako	Wàll:Réew;Wàll:Tugal;Wàll:Monaako;
Mosambik	Wàll:Réew;Wàll:Afrig;
Miyanmaar	Wàll:Asi;Wàll:Réew;
Namibi	Wàll:Réew;Wàll:Afrig;Wàll:Namibi;
Nauru	Wàll:Oseyaani;Wàll:Réew;Wàll:Dun;Wàll:Nauru| ;
Nepaal	Wàll:Asi;Wàll:Réew;Wàll:Nepaal;
Nikaraaguwa	Wàll:Réew;Wàll:Aamerig;Wàll:Nikaraaguwa;
Niseer	Wàll:Réew;Wàll:Afrig;
Noorwees	Wàll:Noorwees;Wàll:Réew;Wàll:Tugal;
Omaan	Wàll:Asi;Wàll:Réew;Wàll:Omaan| ;
Pakistaan	Wàll:Réew;Wàll:Asi;
Palau	Wàll:Oseyaani;Wàll:Réew;
Palestiin	Wàll:Asi;
Panamaa	Wàll:Réew;Wàll:Aamerig;
Eslowaaki	Wàll:Réew;Wàll:Tugal;Wàll:Eslowaaki;
Araabi Sawdit	Wàll:Réew;Wàll:Asi;Wàll:Araabi Sawdit| ;
Ispaañ	Wàll:Réew;Wàll:Ispaañ;Wàll:Tugal;
Ruwandaa	Wàll:Réew;Wàll:Afrig;
Esloweeni	Wàll:Réew;Wàll:Tugal;Wàll:Esloweeni| ;
Somali	Wàll:Réew;Wàll:Afrig;
Kataar	Wàll:Réew;Wàll:Kataar;Wàll:Asi;
Tugal	Wàll:Tugal|*;Wàll:Gox yi;
Réewum Cek	Wàll:Réew;Wàll:Tugal;Wàll:Réewum Cek| ;
Poloñ	Wàll:Réew;Wàll:Tugal;Wàll:Poloñ| ;
Portugaal	Wàll:Réew;Wàll:Tugal;
San Marino	Wàll:Réew;Wàll:Tugal;
Nguur-Yu-Bennoo	Wàll:Réew;Wàll:Tugal;Wàll:Nguur-Yu-Bennoo;
Àdduna	Wàll:Melosuuf;Wàll:Suuf;
Afrig	Wàll:Afrig;
Afrig gu Bëj-saalum	Wàll:Afrig;Wàll:Réew;Wàll:Afrig gu Bëj-saalum| ;
Asi	Wàll:Asi|*;Wàll:Gox yi;Wàll:Adduna;Wàll:Melosuuf;Wàll:Bereb yi ci Téere Linjiil;
Aamerig	Wàll:Adduna;Wàll:Melosuuf;Wàll:Aamerig;
Paraguwaay	Wàll:Réew;Wàll:Aamerig;Wàll:Paraguwaay;
Peru	Wàll:Réew;Wàll:Aamerig;Wàll:Peru| ;
Biibël	Wàll:Diine;
Yéesu-kristaa	Wàll:Diine;
Nowel	Wàll:Diine;
Samowaa	Wàll:Oseyaani;Wàll:Réew;
Filipiin	Wàll:Asi;Wàll:Réew;Wàll:Filipiin;
Sudaan	Wàll:Réew;Wàll:Afrig;
Saw Tome ak Preesip	Wàll:Réew;Wàll:Afrig;Wàll:Sao Tome ak Principe;
Siraa Leyoon	Wàll:Réew;Wàll:Afrig;
Seysel	Wàll:Réew;Wàll:Afrig;
Singapoor	Wàll:Réew;Wàll:Asi;
Suwaasilaand	Wàll:Réew;Wàll:Afrig;Wàll:Suwaasilaand;
Surinaam	Wàll:Réew;Wàll:Aamerig;
Siri Laanka	Wàll:Réew;Wàll:Asi;
Duni Virgin (angalteer)	Wàll:Nguur-Yu-Bennoo;
Duni Virgin (us)	Wàll:Diwaan-yu-bennoo;
Taaywaan	Wàll:Asi;Wàll:Réew;
Kore gu Bëj-gànnaar	Wàll:Asi;Wàll:Réew;
Ousmane Sembène	Wàll:Sinemaa;
Ndar	Wàll:Dëkki Senegaal;
Martinik	Wàll:Faraas;Wàll:Dun;
Riisi	Wàll:Riisi;Wàll:Tugal;Wàll:Asi;Wàll:Réew;
Sapoŋ	Wàll:Réew;Wàll:Asi;Wàll:Sapoŋ;
Jamayka	Wàll:Réew;Wàll:Dun;Wàll:Aamerig;Wàll:Jamayka| ;
Irlaand	Wàll:Réew;Wàll:Dun;Wàll:Tugal;Wàll:Irlaand| ;
Watikaa	Wàll:Réew;Wàll:Tugal;
Maleesi	Wàll:Réew;Wàll:Asi;Wàll:Maleesi| ;
Diiwaan yu Bennoo	Wàll:Réew;Wàll:Aamerig;Wàll:Diwaan-yu-bennoo| ;
Eritere	Wàll:Réew;Wàll:Afrig;Wàll:Eritere;
Dunu Christmas	Wàll:Dun;
Dunu Kokos	Wàll:Dun;
Guwaadalup	Wàll:Dun;Wàll:Faraas;
Guyaana gu Faraas	Wàll:Faraas;
Grenada	Wàll:Réew;Wàll:Dun;Wàll:Aamerig;
United States Minor Outlying Islands	Wàll:Dun;
Royuwaay:Commons	Royuwaay|Commons;
Royuwaay:Junj	Junj;Wàll:Royuwaay;
Wikipedia:Tàmbali	Wàll:Barab Wikipedia;
Guam	Wàll:Dun;
Kongóo-Kinshasa	Wàll:Réew;Wàll:Afrig;Wàll:Kongóo-Kinshasa;
Mongoli	Wàll:Asi;Wàll:Réew;Wàll:Mongoli| ;
Kore gu Bëj-saalum	Wàll:Réew;Wàll:Asi;Wàll:Kore gu Bëj-saalum;
Romaani	Wàll:Réew;Wàll:Tugal;Wàll:Romaani| ;
Seerbi	Wàll:Réew;Wàll:Tugal;
Ukreen	Wàll:Réew;Wàll:Tugal;Wàll:Ukreen;
Pari	Wàll:Faraas;Wàll:Péy;
Bunt:Melosuuf	Wàll:Bunt|Melosuuf;Wàll:Melosuuf;
Réew	Wàll:Réew| ;
Dùn	Wàll:Nguur-Yu-Bennoo;Wàll:Dun;
Djibril Dio Mambéty	Wàll:Senegaal;Wàll:Sinemaa;
Géej	Wàll:Géej;
Bunt:Diine	Wàll:Diine|*;Wàll:Bunt|Diine;
Banjul	Wàll:Péy;Wàll:Afrig;Wàll:Gàmbi;
Mexe	Wàll:Dëkki Senegaal;
Turkumenistaan	Wàll:Réew;Wàll:Asi;
Dunu Kook	Wàll:Réew;Wàll:Dun;
Mbàmbulaan Gu-Dal	Wàll:Mbàmbulaan yi;
Heard Island and McDonald Islands	Wàll::Dun;
Duni Faarow	Wàll:Dun;Wàll:Nguur-Yu-Bennoo;
Duni Kaymaan	Wàll:Dun;
Wikipedia:Buntuw Askan wi	commons:Licensing templates|hundreds templates;c:Wikipedia15 Mark|list of all the Wikipedia 15 logos;c:Wikipedia15 Mark|list of all the Wikipedia 15 logos;
Kaledooni-Gu-Bees	Wàll:Dun;Wàll:Faraas;
Poortorikoo	Wàll:Poortorikoo;
Seland-Gu-Bees	Wàll:Réew;Wàll:Dun;
Réewum Dominik	Wàll:Réew;Wàll:Dun;Wàll:Aamerig;
Mbàmbulaanug Atlas	Wàll:Mbàmbulaan yi;
Tuvalu	Wàll:Réew;Wàll:Dun;
Seent Eleen	Wàll:Dun;Wàll:Nguur-Yu-Bennoo;
Mayoot	Wàll:Dun;Wàll:Faraas;
Montserrat	Wàll:Aamerig;Wàll:Dun;
Sahara gu Sowwu	Wàll:Afrig;Wàll:Réew;
Réewum Diggu Afrig	Wàll:Réew;Wàll:Afrig;
Tokelau	Wàll:Dun;
Mbàmbulaanug End	Wàll:Mbàmbulaan yi;
Duni Solomon	Wàll:Réew;Wàll:Dun;
Dunu Falkland	Wàll:Dun;Wàll:Nguur-Yu-Bennoo;
Dunu Norfolk	Wàll:Dun;
Saint Lucia	Wàll:Réew;Wàll:Dun;Wàll:Aamerig;
Réewum Lawos	Wàll:Réew;Wàll:Asi;
Pitkeern	Wàll:Dun;Wàll:Nguur-Yu-Bennoo;
Saint Kitts and Nevis	Wàll:Réew;Wàll:Dun;Wàll:Aamerig;
Papuwaasi-Gine-Gu-Bees	Wàll:Réew;Wàll:Dun;
Saint Pierre ak Miquelon	Wàll:Dun;Wàll:Faraas;
Wallis ak Futuna	Wàll:Dun;Wàll:Wallis ak Futuna;Wàll:Faraas;
Turks and Caicos Islands	Wàll:Dun;
Swalbard ak Jan Mayen	Noorwees;
Polineesi gu Faraas	Wàll:Faraas;Wàll:Dun;
Reiñõo	Wàll:Dun;Wàll:Faraas;
Siri	Wàll:Réew;Wàll:Asi;Wàll:Siri;
Saint Vincent and the Grenadines	Wàll:Dun;Wàll:Aamerig;Wàll:Réew;
Imaaraat yu Araab yu Bennoo yi	Wàll:Réew;Wàll:Asi;Wàll:Imaarati Araab yu Bennoo| ;
Jeoorji gu Bëj-saalum ak Duni Islaand yi Bëj-saalum	Wàll:Dun;Wàll:Nguur-Yu-Bennoo;
Cees	Wàll:Dëkki Senegaal;
Jurbel	Wàll:Dëkki Senegaal;
Mbuur	Wàll:Dëkki Senegaal;
Luga	Wàll:Dëkki Senegaal;
Podoor	Wàll:Dëkki Senegaal;
Tëngéej	Wàll:Dëkki Senegaal;
Tuubaa	Wàll:Dëkki Senegaal;Wàll:Yoonu murit;
Xaralay xibaar ak jokkoo	Wàll:Xam-xamu nosukaay;
Dex	Wàll:Melosuuf;Wàll:Ndox;
Kàllaama	Wàll:Làkk;
Nataal	Wàll:Xarala;Wàll:Fànn;
Maatam	Wàll:Dëkki Senegaal;
Way	Wàll:Woy;
Xayma	Wàll:Xayma|*;Wàll:Bunt|Xayma;
Cuub	Wàll:Cuub;
Taariix	Wàll:Taariix|*;
Yatt	Wàll:Fànn;
Beer	Wàll:Dun;Wàll:Senegaal;
Soxna	Wàll:Lislaam;
Royuwaay:Jëfandikukat	Wàll:Royuwaay;
Wikipédia:Yorkat/Woloflover	Wàll:Yorkat;
Ayóoba	Wàll:Diine;Wàll:Yonenti Lislaam;
Cosaan	Wàll:Cosaan;Wàll:Séeréer;
Yuusu Nduur	Wàll:Woy;Wàll:Nit;
Aadama	Wàll:Diine;Wàll:Yonenti Lislaam;
1 Musaa	Wàll:Diine;
Aana	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Linjiil;
Aaroona	Wàll:Diine;Wàll:Yonenti Lislaam;Wàll:Diine;Wàll:Yonenti Lislaam;Wàll:Nit ñi ci Téere Tawreet;
Abadon	Wàll:Baat yi jóge làkku ibrë;
Abba	Wàll:Baat yi jóge làkku yawut;
Abel	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Abilen	Wàll:Bereb yi ci Téere Linjiil;Wàll:Siri;
Abiya	Wàll:Nit ñi ci Kàddug Yàlla;
Abiyatar	Wàll:Nit ñi ci Kàddug Yàlla;
Abiyudd	Wàll:Nit ñi ci Kàddug Yàlla;
Adaramit	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
Adi	Wàll:Nit ñi ci Kàddug Yàlla;
Adiratig	Wàll:Bereb yi ci Téere Linjiil;Wàll:Itaali;
Admin	Wàll:Nit ñi ci Kàddug Yàlla;
Aram	Wàll:Nit ñi ci Kàddug Yàlla;
Afiya	Wàll:Nit ñi ci Téere Linjiil;
Agabus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Agaripa	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Ajara	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Akas	Wàll:Nit ñi ci Kàddug Yàlla;
Akayi	Wàll:Bereb yi ci Téere Linjiil;Wàll:Girees;
Akaykus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Akilas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Akim	Wàll:Nit ñi ci Kàddug Yàlla;
Albaatar	Wàll:Per yi ak Xeer yi ci Kàddug Yàlla;
Alegsàndar	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Alegsàndiri	Wàll:Bereb yi ci Téere Linjiil;Wàll:Isipt;
Alfe	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Alisa	Wàll:Diine;Wàll:Yonenti Lislaam;
Almasi bi	Wàll:Baat yi jóge làkku ibrë;
Aloos	Wàll:Gàncax yi ak garab yi ci Kàddug Yàlla;
Ametist	Wàll:Per yi ak Xeer yi ci Kàddug Yàlla;
Royuwaay:PD-self	Wàll:Dencukaay;Wàll:Dencukaay;Wàll:Royuwaay|PD-self;
Amfipolis	Wàll:Bereb yi ci Téere Linjiil;
Aminadab	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Amiin	Wàll:Baat yi jóge làkku ibrë;
Amon	Wàll:Nit ñi ci Kàddug Yàlla;
Amos	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Ampilyaatus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Anañas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Anas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Ancos ci Siri	Wàll:Bereb yi ci Téere Linjiil;Wàll:Siri;
Ancos ci Pisidi	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
Barnabas	Wàll:Nit ñi ci Téere Linjiil;
Andare	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Andoronikus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Anet	Wàll:Gàncax yi ak garab yi ci Kàddug Yàlla;
Antipas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Antipataris	Wàll:Bereb yi ci Téere Linjiil;
Apeles	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Apiyus, péncu	Wàll:Bereb yi ci Téere Linjiil;
Apoloni	Wàll:Bereb yi ci Téere Linjiil;Wàll:Girees;
Apolos	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Apolyon	Wàll:Leeral Biibël;
Araab	Wàll:Xeet yi;
Arabi	Wàll:Bereb yi ci Téere Linjiil;
Aretas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Areyopas	Wàll:Bereb yi ci Téere Linjiil;Wàll:Girees;
Arimate	Wàll:Bereb yi ci Téere Linjiil;
Aristàrk	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Aristobul	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Arkelawus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Arkib	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Armagedon	Wàll:Bereb yi ci Téere Linjiil;
Arpagsàdd	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Artemas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Artemis	Wàll:Yàllay xeet yi;
Asaf	Wàll:Nit ñi ci Kàddug Yàlla;
Asànkirit	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Aser	Wàll:Nit ñi ci Téere Linjiil;
Asor	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Asos	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
Asot	Wàll:Bereb yi ci Téere Linjiil;
Atali	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
Aten	Wàll:Bereb yi ci Téere Linjiil;Wàll:Girees;Wàll:Péy;
Awa	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Aynon	Wàll:Bereb yi ci Téere Linjiil;
Alxuraan	Wàll:Lislaam;
Wolof (làkk)	commons:Wolof pronunciation| commons:Wolof pronunciation;Wàll:Wolof;Wàll:Làkki senegaal;Wàll:Làkk;
Ahmadou Bamba	Wàll:Niti senegaal;
Baal	Wàll:Yàllay xeet yi;
Babilon	Wàll:Bereb yi ci Téere Linjiil;
Balaam	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Balag	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Balastus	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Elimas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Barabas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Barsabas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Bartelemi	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Bartime	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Royuwaay:Babel	:Wàll:Waa-wikipedia ci làkk-ak-làkk|Seet waa-wikipedia ci làkk-ak-làkk;Wàll:Boyutu Babel| ;
Barag	Wàll:Nit ñi ci Kàddug Yàlla;
Baraki	Wàll:Nit ñi ci Kàddug Yàlla;
Beelsebul	Wàll:Yàllay xeet yi;
Beliyar	Wàll:Yàllay xeet yi;
Ben-yamin	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Tawreet;
Bere	Wàll:Bereb yi ci Téere Linjiil;
Berenis	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Beril	Wàll:Per yi ak Xeer yi ci Kàddug Yàlla;
Betani	Wàll:Bereb yi ci Téere Linjiil;
Betani bu Yerusalem	Wàll:Bereb yi ci Téere Linjiil;
Betani bu Yurdan	Wàll:Bereb yi ci Téere Linjiil;
Betesda	Wàll:Bereb yi ci Téere Linjiil;
Betfase	Wàll:Bereb yi ci Téere Linjiil;
Betleyem	Wàll:Bereb yi ci Téere Linjiil;
Betsayda	Wàll:Bereb yi ci Téere Linjiil;
Bitini	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
